artist_id,artist_genres
19HM5j0ULGSmEoRcrSe5x3,"trap argentino, trap latino, urbano latino"
1r3tpVQ08jFAA2P4xzV5o4,pop reggaeton
2IKdK6PbitvCiXt1t2bPU6,rap uruguayo
0GgY7hjMoGDsX8ZDe2mwds,"french hip hop, pop urbaine, r&b francais, rap algerien"
0AqlFI0tz2DsEoJlKSIiT9,pop argentino
3bvfu2KAve4lPHrhEFDZna,"latin viral pop, spanish pop"
4q3ewBCX7sLwd24euuV69X,"reggaeton, trap latino, urbano latino"
58M2tktuW3ZTnZGTddqejF,
52iwsT98xCoGgiGntTiR7K,"rap canario, trap latino, urbano latino"
4ixNZvQuuzCDxBsxO9zE6L,urbano latino
7iK8PXO48WeuP03g8YR51W,"reggaeton, trap latino, urbano latino"
0Q8NcsJwoCbZOHHW63su5S,"trap latino, urbano latino"
0Q8NcsJwoCbZOHHW63su5S,"trap latino, urbano latino"
1mcTU81TzQhprhouKaTkpq,"puerto rican pop, reggaeton, trap latino, urbano latino"
2O8vbr4RYPpk6MRA4fio7u,"trap latino, urbano espanol, urbano latino"
5XJDexmWFLWOkjOEjOVX3e,"trap boricua, trap latino, trap triste, urbano latino"
2YRyPiW98bpkARAS4B3OQP,"trap latino, urbano latino"
2R21vXR83lH98kGeO99Y66,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
0FwnPHExlRRxEZPLAi5tmG,
790FomKkXshlbRYZFtlgla,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
6k8mwkKJKKjBILo7ypBspl,spanish pop
0jbo7KFNMiIkfBR6ih0yhm,
1aOK2Zm4Wsm4I4DuoQIXsZ,flamenco urbano
