playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id
Top 50 - Australia,Lose Control,17phhZDn6oGtzMe56NuWvj,False,93,I've Tried Everything But Therapy (Part 1),7nacKlk586eLRBSIsrk9DB,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,2023-09-15,Teddy Swims,33qOK5uJ8AR2xuQQAhHump
Top 50 - Australia,I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,False,94,Zach Bryan,6PbnGueEO6LGodPfvNldYf,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef,2023-08-25,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2
Top 50 - Australia,Murder On The Dancefloor,4tKGFmENO69tZR9ahgZu48,False,94,Read My Lips,68ishLKwqH5oH79kUteEHG,https://i.scdn.co/image/ab67616d0000b273b736151ed1c04f2d41d5f69e,2002-06-06,Sophie Ellis-Bextor,2cBh5lVMg222FFuRU7EfDE
Top 50 - Australia,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),6WzRpISELf3YglGAh7TXcG,True,96,Popular (Music from the HBO Original Series),5O0zUvdnJr0RbWzLFneN2i,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,2023-06-02,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
Top 50 - Australia,Saving Up,787Y2idwCU2Rk60Prv4wpr,False,80,Saving Up,3XTTqxcEOZgaTobJlRefvF,https://i.scdn.co/image/ab67616d0000b273585c329dfd9cdeb22b6cd247,2023-10-06,Dom Dolla,205i7E8fNVfojowcQSfK9m
Top 50 - Australia,Strangers,5mjYQaktjmjcMKcUIcqz4s,False,96,Strangers,18ogtNq9F7DmMkNYO6Xb4k,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3,2023-09-01,Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2
Top 50 - Australia,redrum,52eIcoLUM25zbQupAZYoFh,True,96,american dream,2RRYaYHY7fIIdvFlvgb5vq,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347,2024-01-12,21 Savage,1URnnhqYAYcrqrcwql10ft
Top 50 - Australia,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,False,91,Something in the Orange,1CmTOKCeyz1aHH04OwvTPv,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,2022-04-22,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2
Top 50 - Australia,Unwritten,3U5JVgI2x4rDyHGObzJfNf,False,92,Unwritten,3PEzTAuPW5IjLJ58FzwQeL,https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4,2004-08-30,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a
Top 50 - Australia,"yes, and?",7gaA3wERFkFkgivjwbSvkG,True,97,"yes, and?",2B9amdrHDIKOoEiPUfZGtb,https://i.scdn.co/image/ab67616d0000b2736b0b6e20fdb1ee07de7e92d6,2024-01-12,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
Top 50 - Australia,Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,True,93,For All The Dogs,4czdORdCWP9umpbhFXK2fW,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,2023-10-06,Drake,3TVXtAsR1Inumwj472S9r4
Top 50 - Australia,Paint The Town Red,56y1jOTK0XSvJzVv9vHQBK,True,88,Scarlet,1bBez9PNvkJPW08bU7NYta,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb,2023-09-20,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
Top 50 - Australia,Last Night,7K3BhSpAxZBznislvUMVtn,True,86,One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,2023-03-03,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
Top 50 - Australia,Houdini,4OMJGnvZfDvsePyCwRGO7X,False,95,Houdini,5pTaRVLwZOFObIbRBubmeb,https://i.scdn.co/image/ab67616d0000b273001d5706fddc72561f6488af,2023-11-09,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
Top 50 - Australia,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,True,93,SOS,07w0rG5TETcyihsEIZR3qG,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09,SZA,7tYKF4w9nC0nq9CsPZTHyP
Top 50 - Australia,Praise Jah In The Moonlight,3h5TiWTqGxjSjFrbruPFH9,True,89,Praise Jah In The Moonlight,3BicSFhksEP3QHanmBM1Wd,https://i.scdn.co/image/ab67616d0000b273672db804db16b0dd95ecf572,2023-12-27,YG Marley,0n4Fao9kbjgM76RmVlfSwr
Top 50 - Australia,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,False,91,SOS,1nrVofqDRs7cpWXJ49qTnP,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,2022-12-08,SZA,7tYKF4w9nC0nq9CsPZTHyP
Top 50 - Australia,Water,5aIVCx5tnk0ntmdiinnYvw,False,95,Water,22sXXkKgjEuawIFL1e1tRw,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e,2023-07-28,Tyla,3SozjO3Lat463tQICI9LcE
Top 50 - Australia,Flowers,7DSAEUvxU8FajXtRloy8M0,False,94,Endless Summer Vacation,5DvJgsMLbaR1HmAI6VhfcQ,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5,2023-08-18,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
Top 50 - Australia,Never Lose Me,6uTPdRrEDeH8Fyg5L5qmeU,True,92,Never Lose Me,4K5YnziH8o3NoEsxv8zviL,https://i.scdn.co/image/ab67616d0000b2736a17369515a43d96fb18d193,2023-11-30,Flo Milli,08PvCOlef4xdOr20jFSTPd
Top 50 - Australia,vampire,1kuGVB7EU95pJObxwvfwKS,True,95,GUTS,1xJHno7SmdVtZAtXbdbDZp,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,2023-09-08,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
Top 50 - Australia,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,False,92,Midnights,151w1FgRZfnKZA9FEcg9Z3,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,2022-10-21,Taylor Swift,06HL4z0CvFAxyc27GXpf02
Top 50 - Australia,Scared To Start,3Pbp7cUCx4d3OAkZSCoNvn,False,87,Scared To Start,3NpeIWhWsxU7d3XL5KEh39,https://i.scdn.co/image/ab67616d0000b27351ef67c49732e45cd2b26fbe,2024-01-12,Michael Marcagi,4j96cMcT8GRi11qbvo1cLQ
Top 50 - Australia,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,False,98,The Idol Episode 4 (Music from the HBO Original Series),7tzVd1fwkxsorytCBjEJkU,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,2023-06-23,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
